longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.02,37.98,37,1474,343,782,331,3.4187,161700,NEAR BAY
-122.17,37.73,43,1473,371,1231,341,2.1587,86500,NEAR BAY
-121.75,39.88,16,2867,559,1203,449,2.7143,95300,INLAND
-121.97,37.55,17,4924,1247,3080,1182,3.168,189400,<1H OCEAN
-122.01,37.91,21,10093,1269,3645,1219,7.6877,367700,NEAR BAY
-119.55,36.51,46,55,11,26,5,4.125,67500,INLAND
-122.22,37.79,49,1826,450,1201,424,2.5,136700,NEAR BAY
-122.09,37.63,34,1457,242,735,249,3.9167,189500,NEAR BAY
-119.72,36.73,9,1914,491,1116,424,1.4646,65900,INLAND
-122.08,37.69,43,1575,324,740,284,2.8512,181000,NEAR BAY
-122.3,37.86,50,499,127,287,128,2.75,140600,NEAR BAY
-119.81,36.51,31,1241,254,767,226,2.7321,83600,INLAND
-121.86,39.74,13,3494,843,1571,784,1.1019,120200,INLAND
-122.09,37.64,36,1180,212,664,200,5.2838,172600,NEAR BAY
-122.17,37.73,46,2163,470,925,435,3.25,177500,NEAR BAY
-122.27,37.83,49,1655,366,754,329,1.375,104900,NEAR BAY
-120.44,38.61,9,2598,548,796,297,3.5192,98000,INLAND
-122.24,37.77,52,1711,386,885,373,3.6417,206300,NEAR BAY
-121.78,37.69,35,2853,588,1761,572,4.3533,168400,INLAND
-122.08,37.95,24,3173,548,1351,536,5.0672,243000,NEAR BAY
-122.04,37.62,35,1032,173,453,176,6.396,208500,NEAR BAY
-120.8,38.51,23,1001,195,369,157,3.125,96400,INLAND
-122.12,37.68,45,2179,401,1159,399,3.4839,180600,NEAR BAY
-122.08,37.68,15,3051,685,1479,668,3.5295,242200,NEAR BAY
-119.57,36.7,7,1761,309,974,308,3.7261,83900,INLAND
-122.1,37.96,20,3796,650,1679,611,4.3571,228200,NEAR BAY
-121.82,38.02,46,176,43,101,40,2.2361,93800,INLAND
-122.1,37.97,18,4326,655,1753,646,5.6931,269600,NEAR BAY
-119.81,36.79,35,2314,443,954,457,2.9506,73800,INLAND
-122.29,37.88,46,1895,442,920,425,2.9926,192100,NEAR BAY
-120.01,38.92,23,964,246,485,198,1.7188,96100,INLAND
-122.19,37.78,52,1026,180,469,168,2.875,160000,NEAR BAY
-122.1,37.66,35,686,142,480,149,3.875,162100,NEAR BAY
-120.1,36.16,17,598,160,715,146,2.3295,55000,INLAND
-122.18,37.73,42,909,215,646,198,2.9063,80000,NEAR BAY
-122.24,37.79,43,1626,376,1284,357,2.2542,112200,NEAR BAY
-122.17,37.74,46,769,183,693,178,2.25,84200,NEAR BAY
-121.94,37.76,4,6875,1439,2889,1307,4.6932,356100,<1H OCEAN
-119.83,36.76,15,3291,772,1738,634,1.976,67300,INLAND
-119.97,36.57,17,1497,308,1425,247,2.0313,69400,INLAND
-122.17,37.75,37,1379,287,835,259,2.4962,91800,NEAR BAY
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,NEAR BAY
-119.84,36.8,16,2849,506,1508,478,3.4074,72700,INLAND
-121.82,38.01,25,3018,606,1614,568,3.4722,127000,INLAND
-119.67,36.73,27,2845,417,1219,460,4.9196,117900,INLAND
-122.33,37.95,22,2099,569,1135,509,2.1915,120800,NEAR BAY
-121.54,39.51,33,3585,757,1887,765,2.502,62100,INLAND
-119.8,36.77,52,2964,512,1114,486,3.8105,87600,INLAND
-122.09,37.86,27,5484,760,2212,770,7.6202,402600,NEAR BAY
-119.8,36.7,28,1592,304,962,282,1.3304,51300,INLAND
-122.14,37.75,33,1334,200,579,202,6.8323,255900,NEAR BAY
-121.7,37.93,10,3258,612,1779,558,4.6587,152500,INLAND
-121.57,39.5,31,2023,469,1073,436,1.5714,56100,INLAND
-122.23,37.76,52,1049,185,374,176,4.1458,248500,NEAR BAY
-122.17,39.31,35,2791,552,1395,476,2.5625,62700,INLAND
-121.96,37.94,26,3084,505,1557,501,5.1582,194700,INLAND
-119.71,36.83,5,1087,338,623,362,1.8061,113400,INLAND
-122.07,37.93,45,1544,244,614,238,5.0255,226000,NEAR BAY
-119.74,36.78,27,4049,947,2254,882,2.2467,70700,INLAND
-119.98,38.9,16,3109,572,885,334,3.5,134700,INLAND
-122.15,37.67,35,2472,398,1171,390,5.5797,198100,NEAR BAY
-119.78,36.8,34,3426,623,1938,647,2.8994,66000,INLAND
-122.29,37.81,23,1745,374,1054,325,0.8026,112500,NEAR BAY
-120.57,38.35,17,1504,358,661,250,2.2604,84800,INLAND
-119.73,36.72,26,2645,1005,1660,991,0.6991,89500,INLAND
-121.9,37.66,18,7397,1137,3126,1115,6.4994,323000,INLAND
-119.79,36.85,11,2596,619,1765,539,1.9511,54000,INLAND
-122.27,37.81,52,210,56,183,56,1.1667,112500,NEAR BAY
-122.25,37.8,29,2468,864,1335,773,1.3929,193800,NEAR BAY
-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY
-122.23,37.76,52,3011,542,1303,535,5.1039,273800,NEAR BAY
-122.29,37.82,2,158,43,94,57,2.5625,60000,NEAR BAY
-122.08,37.62,27,1826,309,1016,313,5.64,206500,NEAR BAY
-122.14,37.73,38,1723,394,711,353,3.0673,218400,NEAR BAY
-120.03,38.89,15,3042,588,918,336,3.8333,118800,INLAND
-119.99,38.93,23,1882,414,673,277,2.9091,141900,INLAND
-122.3,37.89,36,1077,293,518,276,3.0208,206300,NEAR BAY
-119.76,36.82,17,6932,1486,3056,1453,2.3375,99300,INLAND
-121.86,38.04,52,242,59,188,54,1.3958,67500,INLAND
-122.26,37.85,52,2643,626,1212,620,1.9167,159200,NEAR BAY
-119.25,36.71,13,2813,579,1385,512,2.2202,100000,INLAND
-122.24,37.79,27,1632,492,1171,429,2.3173,125000,NEAR BAY
-122.33,39.1,10,266,62,154,49,2.25,75000,INLAND
-119.98,38.92,27,2682,606,1010,399,3.15,86900,INLAND
-119.73,36.81,19,1699,356,994,368,2.7778,79700,INLAND
-122.15,37.73,52,1028,129,317,143,4.9135,275000,NEAR BAY
-122.2,37.82,39,3770,534,1265,500,6.3302,362800,NEAR BAY
-122.2,37.77,49,2272,498,1621,483,2.4338,102400,NEAR BAY
-122.33,37.93,34,2326,471,1356,441,2.3475,90300,NEAR BAY
-119.79,36.77,30,1610,410,1000,397,2.0357,60200,INLAND
-122.17,37.7,24,1755,365,952,362,4.0,202600,NEAR BAY
-119.85,36.81,15,1743,310,1011,325,3.755,68000,INLAND
-119.77,36.73,44,1960,393,1286,381,2.1518,53000,INLAND
-122.09,37.98,14,5381,871,2296,872,5.6875,211000,NEAR BAY
-119.77,36.72,43,1763,389,1623,390,1.4427,47700,INLAND
-121.66,39.66,17,3502,655,1763,613,2.9625,101200,INLAND
-120.45,36.85,20,1519,376,1681,370,2.1759,58100,INLAND
-121.91,38.02,15,2966,558,1687,527,3.4817,129800,INLAND
-122.06,37.6,17,5159,832,3174,817,5.8704,234400,NEAR BAY
-121.85,39.73,52,444,80,1107,98,3.4191,137500,INLAND
-122.04,37.5,17,407,97,307,100,3.1696,156300,NEAR BAY
-120.19,38.42,11,1568,369,82,33,3.125,77500,INLAND
-122.29,37.97,20,3426,632,1512,580,4.4911,227400,NEAR BAY
-119.55,36.6,18,2379,448,1638,436,2.309,57100,INLAND
-121.97,38.04,38,2505,554,1595,498,2.5833,83500,INLAND
-122.17,37.87,38,1261,177,472,183,6.917,438000,NEAR BAY
-122.21,37.78,47,881,248,753,241,2.625,111300,NEAR BAY
-119.69,36.86,20,1676,263,786,240,4.0,164600,INLAND
-120.01,38.91,27,968,191,283,143,2.0938,94400,INLAND
-120.25,36.65,31,1177,221,744,223,2.4937,66000,INLAND
-120.91,38.62,12,4545,748,2033,718,4.1843,207600,INLAND
-119.97,38.93,24,856,185,388,108,3.1806,107200,INLAND
-122.25,37.82,52,1424,289,550,253,5.0917,262500,NEAR BAY
-122.12,37.89,30,3227,733,1260,684,4.125,257100,NEAR BAY
-122.29,37.9,52,2657,500,1131,489,4.4286,234900,NEAR BAY
-119.76,36.68,29,1243,312,836,277,1.8355,74200,INLAND
-122.23,37.8,52,2033,486,787,459,3.1603,269500,NEAR BAY
-122.14,37.69,38,1571,317,874,301,4.4659,189100,NEAR BAY
-119.82,36.74,52,610,128,406,122,1.8967,43800,INLAND
-119.79,36.72,19,1719,391,1369,368,1.25,53000,INLAND
-119.72,36.8,16,2396,526,1338,518,2.1653,78800,INLAND
-121.62,37.61,26,1786,306,771,279,5.7239,430600,INLAND
-122.27,37.99,16,4921,737,2312,725,5.8899,243200,NEAR BAY
-120.3,38.9,11,1961,435,113,53,0.9227,95500,INLAND
-122.27,37.85,50,1279,300,675,255,1.9028,150800,NEAR BAY
-122.28,37.91,48,2083,298,685,286,7.3089,331200,NEAR BAY
-121.83,38.0,8,2572,738,1384,684,1.7161,75800,INLAND
-119.78,36.84,7,4907,1075,2014,909,3.2147,111900,INLAND
-119.4,37.09,22,2211,477,773,288,3.3269,102700,INLAND
-122.07,37.91,33,1550,277,638,254,3.6833,292500,NEAR BAY
-124.3,41.8,19,2672,552,1298,478,1.9797,85800,NEAR OCEAN
-122.25,37.77,52,1527,320,825,264,3.4531,208800,NEAR BAY
-122.03,37.56,24,8444,1492,4446,1491,4.6978,240300,NEAR BAY
-120.88,38.32,18,2791,492,1187,438,3.2589,103000,INLAND
-122.29,37.89,52,2269,380,1004,371,5.1696,261400,NEAR BAY
-122.36,37.96,30,950,317,1073,280,1.8664,107800,NEAR BAY
-122.28,37.88,52,1193,200,506,207,4.1912,254500,NEAR BAY
-122.02,37.58,15,3052,760,2097,728,3.3617,178100,NEAR BAY
-122.11,37.65,18,4335,808,2041,734,3.4861,331600,NEAR BAY
-120.55,38.07,27,1199,224,463,199,2.9063,92200,INLAND
-119.71,36.8,17,2056,366,1259,367,3.9338,84700,INLAND
-122.07,37.86,17,1102,224,317,208,3.5893,206300,NEAR BAY
-119.55,36.69,21,1551,423,1519,406,1.7132,55900,INLAND
-119.43,36.61,19,1484,296,1296,298,2.4219,65800,INLAND
-122.03,37.53,18,1746,437,1268,404,3.256,183300,NEAR BAY
-121.98,37.95,16,2984,406,1317,397,6.7821,265900,INLAND
-121.7,37.93,19,2005,405,972,403,2.2216,156700,INLAND
-122.01,37.99,28,1900,401,918,351,3.7841,144900,NEAR BAY
-122.29,37.89,52,1571,349,693,326,3.1375,229100,NEAR BAY
-122.36,37.95,38,1042,289,773,248,2.7714,104700,NEAR BAY
-122.36,37.96,31,1157,276,956,232,1.5347,80400,NEAR BAY
-121.94,37.95,18,2541,355,986,346,7.1978,288000,INLAND
-122.13,39.74,20,1401,280,668,250,2.2569,94300,INLAND
-119.79,36.75,52,377,97,530,96,1.0,45000,INLAND
-119.68,36.8,7,2855,518,1748,498,4.2066,88400,INLAND
-122.26,37.77,52,1565,315,637,297,4.7778,351800,NEAR BAY
-120.54,38.41,21,1435,294,668,267,2.5667,77400,INLAND
-122.1,37.68,37,2116,503,1109,448,2.535,174000,NEAR BAY
-119.77,36.44,26,1727,289,802,259,3.2083,75000,INLAND
-122.28,37.82,52,945,243,576,220,1.4113,83100,NEAR BAY
-122.27,37.84,48,1922,409,1026,335,1.7969,110400,NEAR BAY
-122.03,37.92,23,3318,408,1124,393,6.5847,358800,NEAR BAY
-122.11,37.7,19,2693,789,1765,724,2.4206,137500,NEAR BAY
-120.19,36.6,25,875,214,931,214,1.5536,58300,INLAND
-121.56,39.51,47,1064,245,603,190,1.3654,57900,INLAND
-122.13,37.67,42,3592,703,1625,665,3.2434,179900,NEAR BAY
-121.97,37.97,27,1691,289,807,296,6.1168,210500,INLAND
-122.06,37.9,25,5869,1685,2669,1554,2.6998,216100,NEAR BAY
-122.14,37.71,27,3094,866,1364,789,2.6101,181700,NEAR BAY
-122.26,38.03,25,2239,361,928,353,4.4474,203700,NEAR BAY
-121.81,39.7,21,5051,1054,2948,980,1.5863,81300,INLAND
-122.04,37.55,23,3170,532,1446,515,4.4357,291700,NEAR BAY
-122.24,37.75,27,4051,753,1499,797,4.8711,286600,NEAR BAY
-122.13,37.75,30,414,54,137,50,4.975,311100,NEAR BAY
-122.09,38.0,6,10191,1882,4377,1789,5.2015,204200,NEAR BAY
-121.54,39.47,14,1724,315,939,302,2.4952,53900,INLAND
-122.33,37.94,43,1876,389,807,377,3.1571,141600,NEAR BAY
-122.2,37.8,41,2070,354,804,340,5.1184,239600,NEAR BAY
-122.02,37.63,6,2445,590,1189,573,3.8958,301100,NEAR BAY
-120.81,38.73,42,1276,260,799,259,2.7273,128600,INLAND
-122.28,37.86,52,1659,367,788,346,2.8214,164300,NEAR BAY
-119.86,36.78,7,2232,490,1274,499,2.9853,74700,INLAND
-122.19,37.78,52,1070,193,555,190,3.7262,166900,NEAR BAY
-122.34,37.93,32,2389,652,1672,584,1.4423,88300,NEAR BAY
-122.12,37.88,35,2785,362,1001,363,8.0448,433300,NEAR BAY
-122.04,37.59,14,1727,302,1116,273,5.3428,243600,NEAR BAY
-119.49,36.58,21,2106,410,867,380,1.9913,95300,INLAND
-122.16,37.76,45,2299,514,1437,484,2.5122,95500,NEAR BAY
-122.23,37.78,52,862,215,994,213,3.0257,80800,NEAR BAY
-119.97,38.94,26,1485,334,406,180,1.9667,84600,INLAND
-122.03,37.99,37,1755,327,882,350,4.59,166600,NEAR BAY
-122.18,37.73,42,4074,874,2736,780,2.455,82400,NEAR BAY
-121.04,38.81,11,3522,623,1456,544,3.93,163400,INLAND
-121.57,39.74,17,1619,292,705,285,2.4623,126100,INLAND
-122.28,37.87,46,3022,696,1293,675,2.543,220700,NEAR BAY
-119.76,36.71,29,1745,441,1530,391,1.5611,44400,INLAND
-119.67,36.57,32,1604,292,868,276,2.1908,110000,INLAND
-121.76,37.7,9,3980,736,1705,679,5.7068,256700,INLAND
-122.15,37.71,36,998,178,531,183,4.0208,191500,NEAR BAY
-122.02,37.59,18,1165,333,855,319,3.6923,213200,NEAR BAY
-119.81,36.78,35,1012,245,633,240,2.0324,55500,INLAND
-122.08,37.65,35,1813,393,1093,374,3.6818,165400,NEAR BAY
-122.27,37.77,52,1731,377,872,363,4.1667,225800,NEAR BAY
-121.47,39.51,19,3720,636,1304,607,2.6921,97500,INLAND
-119.94,38.96,20,1451,386,467,255,1.5536,212500,INLAND
-119.8,36.73,45,925,231,797,228,1.7011,44800,INLAND
-119.8,36.83,17,1560,261,709,258,4.3315,95800,INLAND
-119.8,36.65,34,2263,423,1184,407,1.7692,74200,INLAND
-122.25,37.81,39,854,242,389,228,3.125,237500,NEAR BAY
-122.18,37.77,52,2744,547,1479,554,2.2768,96200,NEAR BAY
-119.49,37.1,24,2532,555,1564,507,2.3359,92400,INLAND
-119.86,36.45,19,2439,462,1416,469,2.4474,75600,INLAND
-122.25,37.86,52,1389,191,514,202,7.0897,446200,NEAR BAY
-119.69,36.79,13,1736,313,993,314,3.7697,83600,INLAND
-124.17,41.76,20,2673,538,1282,514,2.4605,105900,NEAR OCEAN
-122.27,37.81,40,880,451,582,380,0.977,118800,NEAR BAY
-122.28,37.75,20,1156,365,583,326,3.1972,100000,NEAR BAY
-121.82,38.01,50,1120,281,625,239,1.5988,96400,INLAND
-122.3,37.97,34,2854,528,1211,452,3.5353,164700,NEAR BAY
-120.38,36.76,12,932,244,1043,243,1.4038,54300,INLAND
-122.27,38.04,47,1685,405,835,372,2.3103,134500,NEAR BAY
-119.76,36.75,35,1607,383,1407,382,2.19,53400,INLAND
-119.96,38.84,17,2722,512,828,289,3.5714,109700,INLAND
-121.83,39.73,52,1741,401,753,377,2.0064,77900,INLAND
-122.23,37.79,48,1696,396,1481,343,2.0375,122500,NEAR BAY
-122.12,38.0,20,6992,1404,3221,1334,4.2042,166400,NEAR BAY
-122.28,37.78,50,1487,306,730,327,2.5139,219000,NEAR BAY
-122.11,37.66,35,2843,652,1726,643,3.09,174100,NEAR BAY
-122.13,37.68,43,1676,340,924,328,3.6,179400,NEAR BAY
-121.65,39.32,40,812,154,374,142,2.7891,73500,INLAND
-121.53,39.44,26,1340,255,662,239,2.6071,57100,INLAND
-122.32,37.94,38,2751,522,1390,489,3.7277,165100,NEAR BAY
-122.04,37.97,39,1323,245,705,261,3.1968,151000,NEAR BAY
-122.28,37.89,52,2315,408,835,369,4.5893,290100,NEAR BAY
-122.26,37.83,51,936,311,517,249,1.2852,150000,NEAR BAY
-121.58,39.51,24,1865,372,1087,385,1.6389,56700,INLAND
-121.84,39.68,38,549,105,275,94,3.5375,153100,INLAND
-120.79,38.7,13,5036,1034,2243,923,2.3319,138500,INLAND
-120.83,38.74,17,3685,775,1714,734,2.2269,128300,INLAND
-122.25,37.77,52,2156,458,872,445,3.2685,254200,NEAR BAY
-120.81,38.74,29,2259,482,1099,463,2.3314,121600,INLAND
-122.27,37.91,47,1930,315,692,296,6.3669,315500,NEAR BAY
-119.65,36.51,30,1671,319,966,282,3.1333,100000,INLAND
-119.73,36.74,14,6202,1551,5561,1435,1.6073,64700,INLAND
-122.27,37.77,23,5679,1270,2690,1151,4.7695,291700,NEAR BAY
-122.27,37.84,52,2436,541,1015,478,1.725,113900,NEAR BAY
-122.2,37.8,46,2041,405,1059,399,3.8487,203300,NEAR BAY
-122.37,37.96,37,1572,402,1046,350,0.7403,68600,NEAR BAY
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,NEAR BAY
-122.01,37.97,32,3012,527,1288,512,3.6449,211500,NEAR BAY
-122.35,37.96,36,2191,531,1563,524,2.5164,114200,NEAR BAY
-122.19,37.84,18,1617,210,533,194,11.6017,392600,NEAR BAY
-122.26,37.89,52,3078,494,1005,462,6.381,342200,NEAR BAY
-122.18,37.75,45,990,261,901,260,2.1731,82000,NEAR BAY
-122.31,38.0,26,3735,641,1708,633,4.621,191100,NEAR BAY
-122.22,37.8,52,2183,465,1129,460,3.2632,227700,NEAR BAY
-121.19,39.55,17,1483,284,481,211,1.4896,83300,INLAND
-122.21,37.79,52,762,190,600,195,3.0893,125000,NEAR BAY
-121.98,37.58,20,4126,1031,2079,975,3.6832,216900,<1H OCEAN
-121.55,39.44,31,1434,283,811,289,1.7727,49000,INLAND
-119.85,36.43,23,1824,354,1146,362,2.8913,60900,INLAND
-119.85,36.8,14,1876,324,1031,311,3.6563,88800,INLAND
-120.1,36.66,19,2020,416,1341,360,1.7,69000,INLAND
-121.79,37.99,18,3646,534,1651,535,5.7321,164700,INLAND
-121.97,37.76,8,3743,581,1633,567,6.7027,381900,<1H OCEAN
-122.28,37.85,52,610,145,281,132,2.9018,119400,NEAR BAY
-122.27,37.85,40,751,184,409,166,1.3578,147500,NEAR BAY
-122.23,37.81,52,1433,229,612,213,4.7708,314700,NEAR BAY
-122.1,37.65,25,2538,494,1185,501,4.5417,194400,NEAR BAY
-120.06,36.72,32,981,237,736,249,1.8,60400,INLAND
-121.74,37.95,5,4980,774,2399,763,5.7104,186300,INLAND
-121.83,37.99,23,1970,296,935,279,4.4853,145900,INLAND
-122.06,37.54,20,6483,1068,3526,1060,5.0838,248200,NEAR BAY
-122.19,37.83,28,1326,184,463,190,8.2049,335200,NEAR BAY
-122.16,37.89,32,1779,241,721,258,8.7589,434500,NEAR BAY
-122.18,37.68,5,2087,407,840,401,5.4858,187800,NEAR BAY
-122.28,37.9,52,2261,328,819,335,4.9083,346800,NEAR BAY
-121.68,39.82,15,3996,748,1786,728,3.5189,141300,INLAND
-122.15,37.72,29,4169,1047,2024,962,2.8125,157400,NEAR BAY
-120.04,36.74,14,3182,730,2298,721,1.6168,71800,INLAND
-121.09,38.68,15,5218,711,1949,659,4.7083,213300,INLAND
-119.91,36.83,29,2205,366,1072,345,3.8056,165400,INLAND
-121.9,38.02,12,1497,360,943,341,2.1417,122200,INLAND
-120.43,38.25,13,763,161,311,125,2.4583,112500,INLAND
-121.67,37.99,22,1046,195,527,164,4.375,213500,INLAND
-122.33,37.95,45,1585,329,981,373,3.0313,135800,NEAR BAY
-121.59,39.75,20,908,206,481,211,2.2,80800,INLAND
-122.13,37.71,44,1613,339,776,346,3.1103,188900,NEAR BAY
-120.51,36.86,21,1779,399,1446,371,2.4414,71900,INLAND
-119.84,36.79,21,3235,648,1820,614,3.3447,71400,INLAND
-119.8,36.76,52,2224,418,832,406,2.3952,78400,INLAND
-122.12,37.85,18,5252,686,1870,657,8.0074,454100,NEAR BAY
-120.0,38.93,17,8005,1382,999,383,3.9722,313400,INLAND
-121.85,37.72,43,228,40,83,42,10.3203,400000,INLAND
-119.53,36.78,20,2822,479,1372,455,4.5625,136900,INLAND
-122.16,39.78,32,1288,221,562,203,2.325,69600,INLAND
-122.27,37.82,21,896,453,735,438,0.9218,171900,NEAR BAY
-122.08,37.93,35,4043,689,1832,662,5.0761,233200,NEAR BAY
-122.06,37.88,34,4781,703,1879,714,6.5378,340900,NEAR BAY
-122.01,37.98,29,2001,373,956,370,4.317,194000,NEAR BAY
-122.08,37.92,26,1733,265,796,274,6.195,264900,NEAR BAY
-120.99,38.69,5,5743,1074,2651,962,4.1163,172500,INLAND
-122.27,37.85,52,1974,426,875,363,1.5817,153600,NEAR BAY
-122.25,37.8,41,1471,469,1062,413,1.6121,171400,NEAR BAY
-122.28,37.85,44,1025,198,506,204,1.73,147900,NEAR BAY
-122.07,37.59,13,2578,551,1680,528,4.825,222000,NEAR BAY
-121.97,37.53,35,2277,420,1353,413,4.75,197000,<1H OCEAN
-120.0,38.92,26,529,116,191,83,3.5,103600,INLAND
-122.12,37.71,35,1037,207,552,210,4.0,167900,NEAR BAY
-119.69,36.71,25,556,79,249,71,4.4583,108300,INLAND
-122.26,37.88,52,2363,604,1558,573,2.944,338900,NEAR BAY
-120.02,38.92,24,1194,246,414,151,3.2396,101900,INLAND
-122.04,37.58,14,14917,2708,8012,2606,5.6277,269800,NEAR BAY
-119.84,36.84,12,2396,290,863,258,8.7716,229200,INLAND
-122.25,38.0,16,2978,411,1531,400,6.5006,237700,NEAR BAY
-122.0,37.84,16,7681,946,2777,908,9.5271,500001,<1H OCEAN
-122.29,37.88,50,1211,261,523,227,3.8672,216700,NEAR BAY
-122.07,37.66,21,5031,1168,2461,1042,3.875,179300,NEAR BAY
-122.29,37.83,52,1121,211,554,187,3.3929,75700,NEAR BAY
-119.73,36.83,14,3348,491,1584,493,5.0828,111400,INLAND
-121.79,39.73,8,5690,1189,2887,1077,3.0625,116300,INLAND
-121.89,37.67,19,2034,288,852,295,6.5285,300400,INLAND
-122.22,37.79,37,2343,574,1608,523,2.1494,132500,NEAR BAY
-122.13,37.66,19,862,167,407,183,4.3456,163000,NEAR BAY
-122.02,37.94,23,3516,661,1465,623,4.2569,213100,NEAR BAY
-122.11,37.69,42,1472,310,768,309,3.4643,160900,NEAR BAY
-122.28,37.83,52,3108,813,1623,765,2.6997,126900,NEAR BAY
-122.28,37.83,52,1511,390,901,403,1.4103,103900,NEAR BAY
-121.56,39.51,46,1885,385,871,347,1.6352,53100,INLAND
-122.12,37.7,41,3495,787,1849,750,2.679,144900,NEAR BAY
-122.27,38.0,12,1592,242,969,233,6.1576,248700,NEAR BAY
-122.31,37.99,25,6508,1137,3259,1081,4.2348,157800,NEAR BAY
-122.31,37.91,31,1432,348,681,348,2.7243,218100,NEAR BAY
-122.09,37.65,35,1130,192,543,184,4.3897,190600,NEAR BAY
-122.21,37.78,52,1056,224,792,245,2.6583,142600,NEAR BAY
-122.25,37.84,52,3104,687,1157,647,3.12,241400,NEAR BAY
-122.36,37.92,52,215,41,126,43,1.3929,104200,NEAR BAY
-121.95,37.74,19,5721,837,2653,813,6.2631,266000,<1H OCEAN
-122.21,37.79,47,1543,307,859,292,2.9583,138800,NEAR BAY
-122.02,37.84,34,1879,265,729,263,7.7072,443800,NEAR BAY
-119.77,36.83,16,2360,355,1034,359,5.0635,108500,INLAND
-122.25,38.03,15,3338,532,1834,520,5.6293,197600,NEAR BAY
-121.81,39.71,18,1222,250,708,281,2.0288,116700,INLAND
-119.31,36.63,26,1874,416,1834,432,1.6486,55200,INLAND
-119.56,36.51,37,1018,213,663,204,1.6635,67000,INLAND
-122.27,37.86,52,834,186,494,175,3.15,206300,NEAR BAY
-119.8,36.79,45,1337,187,471,187,5.187,153800,INLAND
-121.97,37.97,24,1330,183,656,205,5.0092,244100,INLAND
-120.39,36.78,11,1947,488,2104,486,1.7184,55200,INLAND
-121.87,37.66,39,522,116,161,102,2.4896,238500,INLAND
-122.27,38.0,15,1216,166,572,178,5.8418,240300,NEAR BAY
-122.3,37.77,42,2038,368,2037,355,2.6447,200000,NEAR BAY
-122.27,37.8,39,1715,623,1327,467,1.8477,179200,NEAR BAY
-122.3,37.89,46,1520,402,815,375,2.8036,211600,NEAR BAY
-122.3,37.9,15,5083,1212,2420,1146,4.5824,256100,NEAR BAY
-122.29,37.98,27,2133,347,850,350,5.1046,209800,NEAR BAY
-121.62,39.77,23,1759,366,788,359,1.8125,93500,INLAND
-122.13,37.67,40,1748,318,914,317,3.8676,184000,NEAR BAY
-122.38,37.91,18,3507,711,1224,676,5.0524,269800,NEAR BAY
-122.01,37.55,26,2068,532,1434,495,3.3008,224200,NEAR BAY
-122.34,37.95,44,1675,317,806,311,3.0694,135300,NEAR BAY
-122.17,37.78,49,893,177,468,181,3.875,140600,NEAR BAY
-122.27,37.89,52,1978,293,723,272,5.3989,335600,NEAR BAY
-122.04,37.94,24,5732,873,2444,888,5.6292,231400,NEAR BAY
-122.27,37.78,13,2020,535,959,486,5.2601,292700,NEAR BAY
-122.27,37.9,52,2079,273,684,275,7.9556,374400,NEAR BAY
-121.79,37.66,22,14701,2210,6693,2232,5.98,245000,INLAND
-121.91,37.69,18,2876,423,1395,427,6.3132,259200,<1H OCEAN
-122.04,37.53,34,2316,478,1524,467,3.7364,190400,NEAR BAY
-119.63,36.64,33,1036,181,620,174,3.4107,110400,INLAND
-119.7,36.8,34,1768,303,888,314,3.8088,87700,INLAND
-122.27,37.88,37,2619,682,1152,616,2.52,277800,NEAR BAY
-120.51,36.55,20,1193,263,1274,241,1.9417,38800,INLAND
-119.94,38.95,25,1789,536,1134,396,2.32,91300,INLAND
-120.16,39.04,18,2040,402,350,129,4.0313,126000,INLAND
-122.28,37.88,52,1172,215,489,218,3.9167,235600,NEAR BAY
-119.79,36.79,19,1524,448,960,386,1.5122,47500,INLAND
-119.74,36.71,17,5872,1250,5034,1224,2.1905,61800,INLAND
-122.01,39.21,50,1592,372,781,307,2.2679,69100,INLAND
-119.44,36.59,32,1153,236,761,241,2.825,67600,INLAND
-121.88,37.99,16,3787,515,1606,507,5.5676,174200,INLAND
-122.28,37.9,52,2003,250,658,244,10.0825,397000,NEAR BAY
-120.67,37.97,9,7450,1475,2233,930,2.6528,133000,INLAND
-122.14,37.88,34,6986,1096,2865,1124,6.2275,394400,NEAR BAY
-119.71,36.81,19,1648,368,557,354,1.7969,72800,INLAND
-122.27,37.84,52,1503,298,690,275,2.6033,162900,NEAR BAY
-122.08,37.63,37,1793,364,1534,346,3.6458,156600,NEAR BAY
-121.88,38.01,9,5329,1284,2827,1202,2.7374,150000,INLAND
-122.28,37.81,35,948,184,467,169,1.8088,118800,NEAR BAY
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,INLAND
-121.55,39.51,39,1551,353,684,310,2.0357,57600,INLAND
-122.04,39.22,27,1446,295,670,281,3.2625,92800,INLAND
-122.34,37.94,47,2313,433,947,430,3.942,143300,NEAR BAY
-122.14,37.74,52,1071,201,440,192,4.0662,204200,NEAR BAY
-122.13,37.68,45,2457,445,1129,422,4.0588,182800,NEAR BAY
-119.45,36.58,18,1425,280,753,266,3.7813,87300,INLAND
-119.74,36.85,3,10425,2121,4432,1778,3.9032,140800,INLAND
-119.78,36.75,31,1404,379,1515,387,1.2813,56400,INLAND
